fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
4695,21,5,0,25 of 44,28 of 47,0 of 0,1,0,1:20,15 of 32,2 of 4,8 of 8,20 of 39,0 of 0,5 of 5
4696,2728,1,0,17 of 39,17 of 39,0 of 0,0,0,0:00,4 of 22,6 of 9,7 of 8,17 of 39,0 of 0,0 of 0
4696,2728,2,0,27 of 68,28 of 69,0 of 3,0,0,0:38,18 of 53,5 of 11,4 of 4,26 of 64,1 of 4,0 of 0
4696,2728,3,0,6 of 10,30 of 41,0 of 0,0,0,0:00,2 of 6,2 of 2,2 of 2,4 of 7,0 of 0,2 of 3
4696,4291,1,0,19 of 78,19 of 78,0 of 0,0,0,0:00,9 of 65,5 of 8,5 of 5,19 of 76,0 of 2,0 of 0
4696,4291,2,0,18 of 79,22 of 83,0 of 1,0,0,0:13,11 of 71,2 of 3,5 of 5,16 of 77,2 of 2,0 of 0
4696,4291,3,0,16 of 26,70 of 103,1 of 1,0,0,4:41,13 of 23,2 of 2,1 of 1,5 of 11,0 of 0,11 of 15
4697,1719,1,2,22 of 34,22 of 34,0 of 0,1,0,0:15,12 of 23,4 of 4,6 of 7,19 of 31,0 of 0,3 of 3
4697,525,1,0,13 of 28,13 of 29,0 of 1,0,0,0:00,5 of 16,1 of 2,7 of 10,13 of 28,0 of 0,0 of 0
4698,2603,1,0,9 of 15,9 of 15,0 of 0,0,0,0:00,2 of 7,5 of 5,2 of 3,9 of 15,0 of 0,0 of 0
4698,2603,2,0,10 of 33,11 of 34,1 of 1,0,0,0:19,6 of 25,3 of 5,1 of 3,8 of 30,0 of 1,2 of 2
4698,2603,3,0,19 of 46,20 of 47,0 of 0,0,0,0:00,15 of 39,2 of 5,2 of 2,16 of 41,3 of 5,0 of 0
4698,1495,1,0,14 of 31,29 of 47,1 of 1,0,0,3:00,12 of 27,0 of 1,2 of 3,5 of 20,0 of 0,9 of 11
4698,1495,2,0,15 of 32,15 of 32,0 of 0,0,0,0:00,6 of 20,4 of 7,5 of 5,15 of 32,0 of 0,0 of 0
4698,1495,3,0,15 of 36,17 of 38,0 of 1,0,0,1:17,10 of 28,3 of 6,2 of 2,14 of 33,1 of 3,0 of 0
4699,4139,1,0,19 of 49,20 of 50,0 of 2,0,0,0:38,8 of 30,5 of 12,6 of 7,13 of 38,6 of 11,0 of 0
4699,4139,2,0,15 of 49,16 of 50,0 of 1,0,0,0:00,7 of 31,4 of 11,4 of 7,12 of 46,3 of 3,0 of 0
